"COUNTY_NAME","ENTITY_CD","ENTITY_NAME","DISTRICT_NAME","PROF_LEVEL","PER_FREE_LUNCH","PER_REDUCED_LUNCH","PER_LEP","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_ECDIS","PER_SUSPENSIONS","MEAN_CLASS_SIZE","MEAN_ENROLL","PER_NOT_HQ","STUD_TEACH_RATIO","PER_HS_DEGREE","MEAN_INC","EXP_PER_ST","MEAN_TEACH_SCORE","CHARTER","VIOL_CRIME_PER_CITIZEN","PROP_CRIME_PER_CITIZEN","TOTAL_DIST_POP"
"NASSAU","280504060001","PASADENA ELEMENTARY SCHOOL","PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT","Proficient",5.667,1,1.333,0,1,5,20,73,1.333,11.667,48.667,8,0.333,22,352.667,0,13.062,22.338,114630.153,377824.197,94.433,0,0.00141715697438313,0.0106720145400836,28613
"QUEENS","342400010119","IS 119 GLENDALE (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #24","Proficient",56.667,13,4,0,1,31.333,23.333,43,0.333,12,50,69.667,0.333,28.133,1012.667,12.667,16.601,20.866,118501.749,25684523.7,85.322,0,0.00464932850969108,0.0126289441911748,8461961
"ROCKLAND","500308030010","FRANKLIN AVENUE SCHOOL","PEARL RIVER UNION FREE SCHOOL DISTRICT","Proficient",8.667,0.333,2,0,0.667,14.333,4,80.667,0.333,4.667,50,11,0.667,23,276,0,16.56,13.2,123127,216800.725,91.14,0,0.00284801386331875,0.0122543803279727,15733
"NASSAU","280203030006","PARKWAY SCHOOL","EAST MEADOW UNION FREE SCHOOL DISTRICT","Proficient",15,6.333,3,0,3,16.667,18.333,61,1,8.333,55,23.333,0.333,23,431.667,0,13.925,26.5,118650,421674.903,92.694,0,0.00141715697438313,0.0106720145400836,51767
"QUEENS","342500010164","PS 164 QUEENS VALLEY","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",64.667,12.333,12.667,0,7,25,30.333,37.333,0.667,18,49.667,77,1,26.167,537.667,5.333,11.86,30.594,137786.222,48375438.934,85.667,0,0.00464932850969108,0.0126289441911748,8461961
"KINGS","331700861041","SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS",NA,"Proficient",71.333,9.667,1.667,0.667,90.333,7,0.333,0.333,1,10.667,49.667,79.667,4,29,147,10.333,10.256,30.57,74345.539,141557.823,86.065,1,0.00627668927886969,0.014459509017006,22365.2716793087
"MONROE","261201060005","SCRIBNER ROAD ELEMENTARY SCHOOL","PENFIELD CENTRAL SCHOOL DISTRICT","Proficient",7,2,3.667,0,4.667,5.667,2,83.333,4,5.333,50.667,10.667,0.333,21.333,455.333,0,10.427,28.905,197998.955,183437.042,83.526,0,0.0033319274567693,0.0240602427005643,32181
"QUEENS","342500010021","PS 21 EDWARD HART","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",64.667,11.667,16.333,0,1,29,60.333,8.667,1,14,45.333,76.333,0,30.333,1063.333,1.333,13.87,21.943,48542.929,24460684.326,86.569,0,0.00464932850969108,0.0126289441911748,8461961
"ESSEX","151001040001","NEWCOMB CENTRAL SCHOOL","NEWCOMB CENTRAL SCHOOL DISTRICT","Proficient",26,12,0,0,0.333,2.667,8,88,0.667,11,47.667,41,0.5,8.96,87.333,0.667,5.458,26.735,163436.457,50290.076,91.018,0,0.00131094875382144,0.00896937665163998,474
"QUEENS","342600010191","PS 191 MAYFLOWER","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",48,10.333,12,1,6,10.667,71,11,0.667,14,51.333,58,0,26.667,303.333,0,13.788,26.912,127306.012,85746794.505,89.857,0,0.00464932850969108,0.0126289441911748,8461961
"QUEENS","342600010158","MS 158 MARIE CURIE","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",41.667,14.333,6.667,0,4,13.667,62,20,0,13.333,48,55.667,0,33.667,1074,1,17.607,29.96,154165.216,24217747.672,82.1,0,0.00464932850969108,0.0126289441911748,8461961
"NASSAU","280502060002","WILLITS ELEMENTARY SCHOOL","SYOSSET CENTRAL SCHOOL DISTRICT","Proficient",1.667,0,3.333,0,0.333,2.667,28.667,67.333,0.667,9.667,43.667,2.667,0.667,19.667,278.667,0,9.609,26.968,144053.166,737163.876,94.258,0,0.00141715697438313,0.0106720145400836,34149
"NASSAU","280207020004","REINHARD EARLY CHILDHOOD CENTER","BELLMORE UNION FREE SCHOOL DISTRICT","Proficient",4.667,0,3.333,0,1.333,8,6,83.667,1,10.667,48,5.333,0,19.667,277.333,0,7.363,27.911,58550.368,103334.135,90.353,0,0.00141715697438313,0.0106720145400836,4209001.74941636
"QUEENS","342500010244","ACTIVE LEARNING ELEMENTARY SCHOOL (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",70,9.667,58.333,0,1.333,7.667,86.667,3.333,1,11.667,48.333,80,0,24.667,276.667,4.333,9.651,31.194,177186.709,94011545.783,85.837,0,0.00464932850969108,0.0126289441911748,8461961
"QUEENS","342500010165","PS 165 EDITH K BERGTRAUM","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",60.667,11,13,0,12,19.667,53.667,14.333,0.333,23,47.667,71.333,0,19,575.667,0.333,7.226,27.066,160413.919,45182155.761,87.209,0,0.00464932850969108,0.0126289441911748,8461961
"KINGS","331400861024","SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG",NA,"Proficient",60.333,10,8.667,0.333,30,56.667,2,9.333,1.333,15.333,53,70,8,28.333,254.333,0,11.561,34.061,101992.54,81817.824,93.478,1,0.00627668927886969,0.014459509017006,4380719.80044342
"QUEENS","342500010242","PS 242 LEONARD P STAVISKY EARLY CHILDHOOD SCHOOL","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",61,12.333,34,0.333,4.333,16,73.333,4.667,2,17,48.667,74,0,24,266.667,0.667,7.921,17.378,87746.056,97536978.75,81.364,0,0.00464932850969108,0.0126289441911748,8461961
"NASSAU","280502060006","ROBBINS LANE ELEMENTARY SCHOOL","SYOSSET CENTRAL SCHOOL DISTRICT","Proficient",1,0,2,0,0,4,36,58.333,1,7.667,51.333,2.333,0,22.333,400.667,0,10.017,33.053,200304.663,512702.995,93.441,0,0.00141715697438313,0.0106720145400836,34149
"BRONX","320700861014","BRILLA COLLEGE PREPARATORY CHARTER SCHOOL",NA,"Proficient",65.667,4.667,20,0,28,70,0,1,1.333,18.667,50.667,87.333,1.667,28.333,169,2.667,9.054,32.14,175918.227,123130.178,87.825,1,0.00911660408481436,0.0160715764710795,6872590.24573496
"BRONX","320900861029","ICAHN CHARTER SCHOOL 6",NA,"Proficient",70.333,6,4,0,55.333,43,0.667,0.667,1,10,58,89,0,19,140.667,2.333,9.814,27.388,157262.344,147931.28,85.25,1,0.00911660408481436,0.0160715764710795,8464690.20061588
"WESTCHESTER","661004060006","SEVEN BRIDGES MIDDLE SCHOOL","CHAPPAQUA CENTRAL SCHOOL DISTRICT","Proficient",1.333,1,0,0,1,3.667,10,81,4.333,10.667,49.333,2.333,0,22.55,632.667,4.333,12.167,24.741,98456.279,186978.398,94.867,0,0.00217533730418714,0.0107248132278337,16627
"ORANGE","440301060001","WILLOW AVENUE ELEMENTARY SCHOOL","CORNWALL CENTRAL SCHOOL DISTRICT","Proficient",12.667,2.667,1,1,2.333,17,3.333,75,1.667,10.333,49.667,18,0,21.333,244.333,0,14.373,22.715,198968.545,253190.996,90.659,0,0.00233466758097182,0.0177236991085525,17436
"NASSAU","280205030006","LEE ROAD SCHOOL","LEVITTOWN UNION FREE SCHOOL DISTRICT","Proficient",6.667,3.667,0,0,0.667,14.667,1.667,81.333,2,4.667,51,11.333,0.667,20,270.333,0,13.517,17.777,59398.311,723706.535,94.993,0,0.00141715697438313,0.0106720145400836,45820
"QUEENS","342600010031","PS 31 BAYSIDE","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",48.667,9.667,12.333,0,9.333,21.333,54.667,14,0,14.667,47.333,58.667,0,26,420.667,3.333,11.906,15.533,111774.041,61830097.464,82.427,0,0.00464932850969108,0.0126289441911748,8461961
"QUEENS","342900010131","PS 131 ABIGAIL ADAMS","NEW YORK CITY GEOGRAPHIC DISTRICT #29","Proficient",74.333,10,21,1,8,12.333,73.333,4,1.333,11.333,49.667,84.667,0,29.667,703.667,0.333,15.992,40.748,152044.393,36963326.859,83.149,0,0.00464932850969108,0.0126289441911748,8461961
"KINGS","332000010176","PS 176 OVINGTON","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",79,6.333,23,0,0.667,20.667,61.333,17.333,0,12.667,49.333,85.333,0,28.333,1213.333,0,14.219,28.446,179904.505,21436698.626,92.62,0,0.00627668927886969,0.014459509017006,8461961
"NASSAU","280518030006","CHARLES E SCHWARTING SCHOOL","PLAINEDGE UNION FREE SCHOOL DISTRICT","Proficient",7,1.333,1,0,0.667,4.667,2.333,92.667,0,13,48,8.333,0.667,20,401,0,10.461,28.811,213358.673,196249.377,94.277,0,0.00141715697438313,0.0106720145400836,19036
"NASSAU","280515030003","ROBERT SEAMAN ELEMENTARY SCHOOL","JERICHO UNION FREE SCHOOL DISTRICT","Proficient",0.667,0,3.667,0,0.333,2.667,35,61,1,16,46.333,0.333,0,19,281.667,0,7.478,27.51,122083.909,370824.852,87.523,0,0.00141715697438313,0.0106720145400836,17605
"SARATOGA","520302060007","KARIGON ELEMENTARY SCHOOL","SHENENDEHOWA CENTRAL SCHOOL DISTRICT","Proficient",6,1,1,0,2.667,3,8.333,81,4.667,7.667,47,8,0,22.667,390,0,13.605,25.426,29800.006,391425.641,90,0,0.00100120482463355,0.0119477701852585,65285
"NIAGARA","400301060006","LEWISTON PORTER SENIOR HIGH SCHOOL","LEWISTON-PORTER CENTRAL SCHOOL DISTRICT","Proficient",12.333,4.333,0,1,1.333,2.333,2,93,0.667,16.333,48,18.333,2.667,20.833,731.667,0,12.912,31.582,98160.725,55306.606,86.539,0,0.0201076253172572,0.0939633382386482,18681
"KINGS","332000010259","JHS 259 WILLIAM MCKINLEY","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",70.667,7.667,12.667,0,1.333,24.667,42.333,31.667,0,12.667,46.667,78,0.333,28.333,1496.667,13,17.608,27.701,156388.035,17378526.281,90.871,0,0.00627668927886969,0.014459509017006,8461961
"WESTCHESTER","662001030004","HEATHCOTE SCHOOL","SCARSDALE UNION FREE SCHOOL DISTRICT","Proficient",0,0,1.333,0,0.333,6.667,16.333,71.667,5,5.667,47.333,0,0,20.333,326.667,0,12.099,28.496,152646.597,427291.837,82.334,0,0.00217533730418714,0.0107248132278337,18342
"KINGS","332000010160","PS 160 WILLIAM T SAMPSON","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",68.667,0.333,69.333,0,1,11,83.667,4.667,0,9.333,47.333,69.333,0,26.667,1103.667,2.667,12.637,14.365,132105.254,23566772.274,86.855,0,0.00627668927886969,0.014459509017006,8461961
"RICHMOND","353100010035","PS 35 CLOVE VALLEY SCHOOL (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #31","Proficient",31.667,6.667,2.667,1,8.667,23.667,6,59,2,21.333,45.333,38.667,0,24.667,303,0,13.773,29.636,115226.695,85841125.413,90.864,0,0.00350288597239946,0.0117805139819658,8461961
"FRANKLIN","160801040002","CHATEAUGAY HIGH SCHOOL","CHATEAUGAY CENTRAL SCHOOL DISTRICT","Proficient",31.667,5.667,0,1,0,0,0,99,0,12.667,47.667,38.333,4,18.661,228.667,1,10.719,46.139,214531.12,51319.242,84.411,0,0.00160762248318858,0.0139157370556982,3079
"KINGS","331500860878","HELLENIC CLASSICAL CHARTER SCHOOL",NA,"Proficient",48.667,10,3.333,1,31.667,37.333,2,26,2,9.333,53,59.333,0.333,24.333,420.333,1,12.243,22.428,155996.226,49505.948,81.883,1,0.00627668927886969,0.014459509017006,392703.483425481
"NASSAU","280205030011","NORTHSIDE SCHOOL","LEVITTOWN UNION FREE SCHOOL DISTRICT","Proficient",19.667,6,4.667,0,0.667,24,12,60.667,2,13.333,49,27.667,0,22.667,448.667,2,11.033,32.955,220680.519,436052.006,97.617,0,0.00141715697438313,0.0106720145400836,45820
"ERIE","142500010007","RIVERVIEW ELEMENTARY SCHOOL","TONAWANDA CITY SCHOOL DISTRICT","Proficient",41.333,5.667,0.333,0,2.667,7.333,0.333,86,4.333,4.667,48.333,54,1,19.333,197.667,0,10.981,31.039,42237.422,179043.845,93.273,0,0.0041347794072196,0.0247089073220775,14991
"NASSAU","280403030007","HARBOR HILL SCHOOL","ROSLYN UNION FREE SCHOOL DISTRICT","Proficient",3.333,2,2.333,0,1,4.333,13,81.667,0,7.667,51.667,5.333,0,21.333,500.333,0,12.829,19.131,141907.61,194874.084,87.581,0,0.00141715697438313,0.0106720145400836,18460
"WESTCHESTER","660101030002","KATONAH ELEMENTARY SCHOOL","KATONAH-LEWISBORO UNION FREE SCHOOL DISTRICT","Proficient",6.667,1,3,0,1.333,12.667,2.667,79,4.333,16,51.667,8.667,0.333,21,346.667,0,10.722,15.042,116061.621,331153.846,88.229,0,0.00217533730418714,0.0107248132278337,18366
"KINGS","332100010239","MARK TWAIN IS 239 FOR THE GIFTED AND TALENTED","NEW YORK CITY GEOGRAPHIC DISTRICT #21","Proficient",25.333,7.333,1,0,9,5.667,28.667,53.667,3.333,9.667,53.667,32.667,0,30,1318.667,11.667,18.4,20.505,109083.683,19724363.751,87.37,0,0.00627668927886969,0.014459509017006,8461961
"QUEENS","342500010032","PS 32 STATE STREET","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",51,11.667,11.333,0,1,18.333,67,11.667,2,12.333,47.333,63,0,28.333,762.667,0,13.074,28.173,114084.535,34103838.724,85.765,0,0.00464932850969108,0.0126289441911748,8461961
"QUEENS","342500010184","PS 184 FLUSHING MANOR","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",35.333,12.333,8.333,0.333,0.333,13.667,35.667,48.667,1.333,17,52,47.333,0,26.333,403,4.333,12.726,19.911,215822.744,64540598.015,85.9,0,0.00464932850969108,0.0126289441911748,8461961
"WESTCHESTER","660701030004","MURRAY AVENUE SCHOOL","MAMARONECK UNION FREE SCHOOL DISTRICT","Proficient",1,0,1.667,0,0,6,5,86,3,7,50.333,1.333,0,22.667,605.667,0,13.662,27.876,87171.926,203420.473,89.133,0,0.00217533730418714,0.0107248132278337,29049
"KINGS","331500010443","NEW VOICES SCHOOL OF ACADEMIC AND CREATIVE ARTS","NEW YORK CITY GEOGRAPHIC DISTRICT #15","Proficient",38,3.667,1.667,0,14.333,39.333,5.667,39,1,22,67,41.667,0,25.778,534.667,15,15.573,31.199,156761.228,48646872.195,92.606,0,0.00627668927886969,0.014459509017006,8461961
"ROCKLAND","500308030011","LINCOLN AVENUE SCHOOL","PEARL RIVER UNION FREE SCHOOL DISTRICT","Proficient",10,0.667,0,0,0,14.333,4,80.667,0.333,5.333,46.333,13,0,22.667,188.667,0,15.722,13.2,123127,317157.244,98.359,0,0.00284801386331875,0.0122543803279727,15733
"NASSAU","280405020004","MANOR OAKS WILLIAM BOWIE SCHOOL","NEW HYDE PARK-GARDEN CITY PARK UNION FREE SCHOOL DISTRICT","Proficient",3.667,1.667,2,1,0,9.333,38.667,51.333,0.667,9,52.333,5.333,0.5,21.333,318.667,0,16.203,15.62,137566.578,105621.339,93.057,0,0.00141715697438313,0.0106720145400836,6400250.25362322
"QUEENS","342800010196","PS 196 GRAND CENTRAL PARKWAY","NEW YORK CITY GEOGRAPHIC DISTRICT #28","Proficient",18.333,4.667,6.333,0,2.333,13.333,37.333,39,7,13.333,50.333,23,0,29.667,663,0,14.518,26.547,128692.964,39230559.578,88.295,0,0.00464932850969108,0.0126289441911748,8461961
"NASSAU","280518030003","JOHN H WEST SCHOOL","PLAINEDGE UNION FREE SCHOOL DISTRICT","Proficient",10,3,2.667,0,0,7.667,5.333,86.333,0.333,9,51.667,12.667,0,20.333,402.333,0,11.073,17.281,73829.924,195599.006,90.711,0,0.00141715697438313,0.0106720145400836,19036
"WESTCHESTER","661800010003","OSBORN SCHOOL","RYE CITY SCHOOL DISTRICT","Proficient",1.667,0.333,5.333,0,0.667,5,12,81.333,2,5.333,48.333,2,0,20,509,0,12.216,15.605,42215.733,161416.503,95.179,0,0.00217533730418714,0.0107248132278337,14861
"KINGS","332200010254","PS 254 DAG HAMMARSKJOLD","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Proficient",52.667,9,17.333,0.667,2.333,8.333,32,56.333,0,11.667,49.333,61.667,0,27.667,571.333,8,13.603,23.341,127279.347,45524844.224,97.782,0,0.00627668927886969,0.014459509017006,8461961
