Geography,Total; Estimate; Total population
"East Aurora Union Free School District, New York",12595
"East Greenbush Central School District, New York",29443
"East Hampton Union Free School District, New York",8535
"East Irondequoit Central School District, New York",27408
"East Islip Union Free School District, New York",24512
"East Meadow Union Free School District, New York",51767
"East Moriches Union Free School District, New York",5943
"East Quogue Union Free School District, New York",4637
"East Rochester Union Free School District, New York",9253
"East Rockaway Union Free School District, New York",8824
"East Syracuse-Minoa Central School District, New York",22111
"East Williston Union Free School District, New York",8865
"Eastchester Union Free School District, New York",18270
"Eden Central School District, New York",9985
"Edgemont Union Free School District, New York",7476
"Edinburg Common School District, New York",1474
"Edmeston Central School District, New York",2805
"Elba Central School District, New York",2719
"Eldred Central School District, New York",4974
"Elizabethtown-Lewis Central School District, New York",2558
"Ellenville Central School District, New York",12762
"Ellicottville Central School District, New York",3599
"Elmira City School District, New York",47757
"Elmira Heights Central School District, New York",6537
"Elmsford Union Free School District, New York",9040
"Elwood Union Free School District, New York",13225
"Union-Endicott Central School District, New York",30571
"Fabius-Pompey Central School District, New York",5746
"Fairport Central School District, New York",40077
"Falconer Central School District, New York",6801
"Fallsburg Central School District, New York",10980
"Farmingdale Union Free School District, New York",41903
"Fillmore Central School District, New York",5103
"Fishers Island Union Free School District, New York",303
"Fonda-Fultonville Central School District, New York",8552
"Forestville Central School District, New York",3591
"Fort Ann Central School District, New York",5925
"Fort Edward Union Free School District, New York",3276
"Fort Plain Central School District, New York",5149
"Frankfort-Schuyler Central School District, New York",7144
"Franklin Central School District, New York",2018
"Franklinville Central School District, New York",4537
"Fredonia Central School District, New York",14068
"Freeport Union Free School District, New York",40040
"Frewsburg Central School District, New York",4876
"Friendship Central School District, New York",2148
"Frontier Central School District, New York",36921
"Fulton City School District, New York",20355
"Galway Central School District, New York",8356
"Gananda Central School District, New York",5888
"Garden City Union Free School District, New York",22531
"Garrison Union Free School District, New York",2799
"Gates-Chili Central School District, New York",33037
"General Brown Central School District, New York",8798
"Geneseo Central School District, New York",11671
"Geneva City School District, New York",17417
"Germantown Central School District, New York",4773
"Gilboa-Conesville Central School District, New York",2565
"Glen Cove City School District, New York",27246
"Glens Falls City School District, New York",14926
"Gloversville City School District, New York",19177
"Gorham-Middlesex Central School District (Marcus Whitman), New York",9863
"Goshen Central School District, New York",18556
"Gouverneur Central School District, New York",10996
"Gowanda Central School District, New York",11098
"Granville Central School District, New York",7313
"Great Neck Union Free School District, New York",45310
"Greece Central School District, New York",83158
"Green Island Union Free School District, New York",2613
"Greenburgh Central School District, New York",21772
"Greene Central School District, New York",7009
"Greenport Union Free School District, New York",4426
"Greenville Central School District, New York",8474
"Greenwich Central School District, New York",6670
"Greenwood Lake Union Free School District, New York",6364
"Springville-Griffith Institute Central School, New York",13136
"Groton Central School District, New York",6237
"Guilderland Central School District, New York",36678
"Hadley-Luzerne Central School District, New York",6149
"Haldane Central School District, New York",5529
"Half Hollow Hills Central School District, New York",46292
"Hamburg Central School District, New York",25268
"Hamilton Central School District, New York",6638
"Hammond Central School District, New York",2006
"Hammondsport Central School District, New York",3963
"Hampton Bays Union Free School District, New York",12637
"Hancock Central School District, New York",2778
"Hannibal Central School District, New York",8187
"Harborfields Central School District, New York",18792
"Harpursville Central School District, New York",4896
"Harrison Central School District, New York",28082
"Harrisville Central School District, New York",2240
"Hartford Central School District, New York",2716
"Hastings-on-Hudson Union Free School District, New York",8625
"Hauppauge Union Free School District, New York",23097
"Haverstraw-Stony Point Central School District (North Rockland), New York",48729
"Hempstead Union Free School District, New York",44981
"Hendrick Hudson Central School District, New York",15593
"Herkimer Central School District, New York",9946
"Hermon-DeKalb Central School District, New York",2614
"Herricks Union Free School District, New York",25367
"Heuvelton Central School District, New York",4405
"Hicksville Union Free School District, New York",41387
"Highland Central School District, New York",11768
"Highland Falls Central School District, New York",12184
"Hilton Central School District, New York",26974
"Hinsdale Central School District, New York",2632
"Holland Central School District, New York",6851
"Holland Patent Central School District, New York",10208
"Holley Central School District, New York",7860
"Homer Central School District, New York",12161
"Honeoye Central School District, New York",5968
"Honeoye Falls-Lima Central School District, New York",13583
"Hoosic Valley Central School District, New York",7554
"Hoosick Falls Central School District, New York",8092
"Hornell City School District, New York",10513
"Horseheads Central School District, New York",27393
"Sackets Harbor Central School District, New York",3446
"Hudson City School District, New York",16027
"Hudson Falls Central School District, New York",15349
"Hunter-Tannersville Central School District, New York",3653
"Huntington Union Free School District, New York",36475
"Hyde Park Central School District, New York",33037
"Kinderhook Central School District (Ichabod Crane), New York",13894
"Indian Lake Central School District, New York",1032
"Indian River Central School District, New York",22206
"Inlet Common School District, New York",354
"Iroquois Central School District, New York",17901
"West Irondequoit Central School District, New York",23727
"Irvington Union Free School District, New York",10035
"Island Park Union Free School District, New York",8323
"Island Trees Union Free School District, New York",15290
"Islip Union Free School District, New York",18580
"Ithaca City School District, New York",67706
"Jamestown City School District, New York",31864
"Jefferson Central School District, New York",1832
"Brookhaven-Comsewogue Union Free School District, New York",25754
"Jericho Union Free School District, New York",17605
"Johnsburg Central School District, New York",1936
"Johnson City Central School District, New York",19229
"Johnstown City School District, New York",11230
"Jordan-Elbridge Central School District, New York",8919
"Katonah-Lewisboro Union Free School District, New York",18366
"Keene Central School District, New York",1111
"AuSable Valley Central School District, New York",9657
"Kendall Central School District, New York",5017
"Kenmore-Tonawanda Union Free School District, New York",67020
"Kings Park Central School District, New York",21977
"Kingston City School District, New York",51609
"La Fargeville Central School District, New York",3324
"LaFayette Central School District, New York",4907
"Lackawanna City School District, New York",17992
"Lake George Central School District, New York",6542
"Lake Placid Central School District, New York",6197
"Lake Pleasant Central School District, New York",724
"Evans-Brant Central School District (Lake Shore), New York",17962
"Lakeland Central School District, New York",36045
"Lancaster Central School District, New York",41573
"Lansing Central School District, New York",7623
"Lansingburgh Central School District, New York",16879
"Laurens Central School District, New York",2854
"Lawrence Union Free School District, New York",36206
"Le Roy Central School District, New York",8318
"North Warren Central School District, New York",4799
"North Rose-Wolcott Central School District, New York",8763
"Letchworth Central School District, New York",6198
"Levittown Union Free School District, New York",45820
"Lewiston-Porter Central School District, New York",18681
"Liberty Central School District, New York",10289
"Lindenhurst Union Free School District, New York",41295
"Lisbon Central School District, New York",4392
"Little Falls City School District, New York",6897
"Liverpool Central School District, New York",51518
"Livingston Manor Central School District, New York",3421
"Livonia Central School District, New York",10682
"Lockport City School District, New York",34832
"Locust Valley Central School District, New York",15359
"Long Beach City School District, New York",38773
"Long Lake Central School District, New York",417
"Lowville Academy and Central School District, New York",8532
"Lyme Central School District, New York",2735
"Lynbrook Union Free School District, New York",17654
"Lyncourt Union Free School District, New York",3340
"Lyndonville Central School District, New York",4633
"Lyons Central School District, New York",6584
"Madison Central School District, New York",3657
"Madrid-Waddington Central School District, New York",4112
"Mahopac Central School District, New York",27467
"Maine-Endwell Central School District, New York",16034
"Malone Central School District, New York",19509
"Malverne Union Free School District, New York",15731
"Mamaroneck Union Free School District, New York",29049
"Manhasset Union Free School District, New York",15763
