GROUP_CODE,GROUP_NAME,ENTITY_CD,ENTITY_NAME
5,Public School District,060201060000,SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN
5,Public School District,060301040000,FREWSBURG CENTRAL SCHOOL DISTRICT
5,Public School District,060401040000,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,060503040000,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT
5,Public School District,060601040000,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON)
5,Public School District,060701040000,CLYMER CENTRAL SCHOOL DISTRICT
5,Public School District,060800010000,DUNKIRK CITY SCHOOL DISTRICT
5,Public School District,061001040000,BEMUS POINT CENTRAL SCHOOL DISTRICT
5,Public School District,061101040000,FALCONER CENTRAL SCHOOL DISTRICT
5,Public School District,061501040000,SILVER CREEK CENTRAL SCHOOL DISTRICT
5,Public School District,061503040000,FORESTVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,061601040000,PANAMA CENTRAL SCHOOL DISTRICT
5,Public School District,061700010000,JAMESTOWN CITY SCHOOL DISTRICT
5,Public School District,062201060000,FREDONIA CENTRAL SCHOOL DISTRICT
5,Public School District,062301040000,BROCTON CENTRAL SCHOOL DISTRICT
5,Public School District,062401040000,RIPLEY CENTRAL SCHOOL DISTRICT
5,Public School District,062601040000,SHERMAN CENTRAL SCHOOL DISTRICT
5,Public School District,062901040000,WESTFIELD CENTRAL SCHOOL DISTRICT
5,Public School District,070600010000,ELMIRA CITY SCHOOL DISTRICT
5,Public School District,070901060000,HORSEHEADS CENTRAL SCHOOL DISTRICT
5,Public School District,070902060000,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT
5,Public School District,080101040000,AFTON CENTRAL SCHOOL DISTRICT
5,Public School District,080201040000,BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT
5,Public School District,080601040000,GREENE CENTRAL SCHOOL DISTRICT
5,Public School District,081003040000,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,081200050000,NORWICH CITY SCHOOL DISTRICT
5,Public School District,081401040000,GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT
5,Public School District,081501040000,OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT
5,Public School District,082001040000,SHERBURNE-EARLVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,090201040000,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,090301060000,BEEKMANTOWN CENTRAL SCHOOL DISTRICT
5,Public School District,090501040000,NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT
5,Public School District,090601020000,CHAZY UNION FREE SCHOOL DISTRICT
5,Public School District,090901040000,NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT
5,Public School District,091101060000,PERU CENTRAL SCHOOL DISTRICT
5,Public School District,091200010000,PLATTSBURGH CITY SCHOOL DISTRICT
5,Public School District,091402060000,SARANAC CENTRAL SCHOOL DISTRICT
5,Public School District,100308020000,BERKSHIRE UNION FREE SCHOOL DISTRICT
5,Public School District,100501040000,TACONIC HILLS CENTRAL SCHOOL DISTRICT
5,Public School District,100902040000,GERMANTOWN CENTRAL SCHOOL DISTRICT
5,Public School District,101001040000,CHATHAM CENTRAL SCHOOL DISTRICT
5,Public School District,101300010000,HUDSON CITY SCHOOL DISTRICT
5,Public School District,101401040000,KINDERHOOK CENTRAL SCHOOL DISTRICT
5,Public School District,101601040000,NEW LEBANON CENTRAL SCHOOL DISTRICT
5,Public School District,110101040000,CINCINNATUS CENTRAL SCHOOL DISTRICT
5,Public School District,110200010000,CORTLAND CITY SCHOOL DISTRICT
5,Public School District,110304040000,MCGRAW CENTRAL SCHOOL DISTRICT
5,Public School District,110701060000,HOMER CENTRAL SCHOOL DISTRICT
5,Public School District,110901040000,MARATHON CENTRAL SCHOOL DISTRICT
5,Public School District,120102040000,ANDES CENTRAL SCHOOL DISTRICT
5,Public School District,120301040000,DOWNSVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,120401040000,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,120501040000,DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI
5,Public School District,120701040000,FRANKLIN CENTRAL SCHOOL DISTRICT
5,Public School District,120906040000,HANCOCK CENTRAL SCHOOL DISTRICT
5,Public School District,121401040000,MARGARETVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,121502040000,ROXBURY CENTRAL SCHOOL DISTRICT
5,Public School District,121601060000,SIDNEY CENTRAL SCHOOL DISTRICT
5,Public School District,121701040000,STAMFORD CENTRAL SCHOOL DISTRICT
5,Public School District,121702040000,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT
5,Public School District,121901040000,WALTON CENTRAL SCHOOL DISTRICT
5,Public School District,130200010000,BEACON CITY SCHOOL DISTRICT
5,Public School District,130502020000,DOVER UNION FREE SCHOOL DISTRICT
5,Public School District,130801060000,HYDE PARK CENTRAL SCHOOL DISTRICT
5,Public School District,131101040000,NORTHEAST CENTRAL SCHOOL DISTRICT
5,Public School District,131201040000,PAWLING CENTRAL SCHOOL DISTRICT
5,Public School District,131301040000,PINE PLAINS CENTRAL SCHOOL DISTRICT
5,Public School District,131500010000,POUGHKEEPSIE CITY SCHOOL DISTRICT
5,Public School District,131601060000,ARLINGTON CENTRAL SCHOOL DISTRICT
5,Public School District,131602020000,SPACKENKILL UNION FREE SCHOOL DISTRICT
5,Public School District,131701060000,RED HOOK CENTRAL SCHOOL DISTRICT
5,Public School District,131801040000,RHINEBECK CENTRAL SCHOOL DISTRICT
5,Public School District,132101060000,WAPPINGERS CENTRAL SCHOOL DISTRICT
5,Public School District,132201040000,MILLBROOK CENTRAL SCHOOL DISTRICT
5,Public School District,140101060000,ALDEN CENTRAL SCHOOL DISTRICT
5,Public School District,140201060000,AMHERST CENTRAL SCHOOL DISTRICT
5,Public School District,140203060000,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,140207060000,SWEET HOME CENTRAL SCHOOL DISTRICT
5,Public School District,140301030000,EAST AURORA UNION FREE SCHOOL DISTRICT
5,Public School District,140600010000,BUFFALO CITY SCHOOL DISTRICT
5,Public School District,140701060000,CHEEKTOWAGA CENTRAL SCHOOL DISTRICT
5,Public School District,140702030000,CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT
5,Public School District,140703020000,CLEVELAND HILL UNION FREE SCHOOL DISTRICT
5,Public School District,140707030000,DEPEW UNION FREE SCHOOL DISTRICT
5,Public School District,140709030000,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT
5,Public School District,140801060000,CLARENCE CENTRAL SCHOOL DISTRICT
5,Public School District,141101060000,SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT
5,Public School District,141201060000,EDEN CENTRAL SCHOOL DISTRICT
5,Public School District,141301060000,IROQUOIS CENTRAL SCHOOL DISTRICT
5,Public School District,141401060000,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE)
5,Public School District,141501060000,GRAND ISLAND CENTRAL SCHOOL DISTRICT
5,Public School District,141601060000,HAMBURG CENTRAL SCHOOL DISTRICT
5,Public School District,141603020000,HOPEVALE UNION FREE SCHOOL DISTRICT AT HAMBURG
5,Public School District,141604060000,FRONTIER CENTRAL SCHOOL DISTRICT
5,Public School District,141701040000,HOLLAND CENTRAL SCHOOL DISTRICT
5,Public School District,141800010000,LACKAWANNA CITY SCHOOL DISTRICT
5,Public School District,141901060000,LANCASTER CENTRAL SCHOOL DISTRICT
5,Public School District,142101040000,AKRON CENTRAL SCHOOL DISTRICT
5,Public School District,142201040000,NORTH COLLINS CENTRAL SCHOOL DISTRICT
5,Public School District,142301060000,ORCHARD PARK CENTRAL SCHOOL DISTRICT
5,Public School District,142500010000,TONAWANDA CITY SCHOOL DISTRICT
5,Public School District,142601030000,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT
5,Public School District,142801060000,WEST SENECA CENTRAL SCHOOL DISTRICT
5,Public School District,150203040000,CROWN POINT CENTRAL SCHOOL DISTRICT
5,Public School District,150301040000,ELIZABETHTOWN-LEWIS CENTRAL SCHOOL DISTRICT
5,Public School District,150601040000,KEENE CENTRAL SCHOOL DISTRICT
5,Public School District,150801040000,MINERVA CENTRAL SCHOOL DISTRICT
5,Public School District,150901040000,MORIAH CENTRAL SCHOOL DISTRICT
5,Public School District,151001040000,NEWCOMB CENTRAL SCHOOL DISTRICT
5,Public School District,151102040000,LAKE PLACID CENTRAL SCHOOL DISTRICT
5,Public School District,151401040000,SCHROON LAKE CENTRAL SCHOOL DISTRICT
5,Public School District,151501060000,TICONDEROGA CENTRAL SCHOOL DISTRICT
5,Public School District,151601040000,WESTPORT CENTRAL SCHOOL DISTRICT
5,Public School District,151701040000,WILLSBORO CENTRAL SCHOOL DISTRICT
5,Public School District,160101060000,TUPPER LAKE CENTRAL SCHOOL DISTRICT
5,Public School District,160801040000,CHATEAUGAY CENTRAL SCHOOL DISTRICT
5,Public School District,161201040000,SALMON RIVER CENTRAL SCHOOL DISTRICT
5,Public School District,161401060000,SARANAC LAKE CENTRAL SCHOOL DISTRICT
5,Public School District,161501060000,MALONE CENTRAL SCHOOL DISTRICT
5,Public School District,161601040000,BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT
5,Public School District,161801040000,SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT
5,Public School District,170301020000,WHEELERVILLE UNION FREE SCHOOL DISTRICT
5,Public School District,170500010000,GLOVERSVILLE CITY SCHOOL DISTRICT
5,Public School District,170600010000,JOHNSTOWN CITY SCHOOL DISTRICT
5,Public School District,170801040000,MAYFIELD CENTRAL SCHOOL DISTRICT
5,Public School District,170901040000,NORTHVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,171102040000,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT
5,Public School District,180202040000,ALEXANDER CENTRAL SCHOOL DISTRICT
5,Public School District,180300010000,BATAVIA CITY SCHOOL DISTRICT
5,Public School District,180701040000,BYRON-BERGEN CENTRAL SCHOOL DISTRICT
5,Public School District,180901040000,ELBA CENTRAL SCHOOL DISTRICT
5,Public School District,181001060000,LE ROY CENTRAL SCHOOL DISTRICT
5,Public School District,181101040000,OAKFIELD-ALABAMA CENTRAL SCHOOL DISTRICT
5,Public School District,181201040000,PAVILION CENTRAL SCHOOL DISTRICT
5,Public School District,181302040000,PEMBROKE CENTRAL SCHOOL DISTRICT
5,Public School District,190301040000,CAIRO-DURHAM CENTRAL SCHOOL DISTRICT
5,Public School District,190401060000,CATSKILL CENTRAL SCHOOL DISTRICT
5,Public School District,190501040000,COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT
5,Public School District,190701040000,GREENVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,190901040000,HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,191401040000,WINDHAM-ASHLAND-JEWETT CENTRAL SCHOOL DISTRICT
5,Public School District,200101080000,PISECO COMMON SCHOOL DISTRICT
5,Public School District,200401040000,INDIAN LAKE CENTRAL SCHOOL DISTRICT
5,Public School District,200501080000,INLET COMMON SCHOOL DISTRICT
5,Public School District,200601040000,LAKE PLEASANT CENTRAL SCHOOL DISTRICT
5,Public School District,200701040000,LONG LAKE CENTRAL SCHOOL DISTRICT
5,Public School District,200702020000,RAQUETTE LAKE UNION FREE SCHOOL DISTRICT
5,Public School District,200901040000,WELLS CENTRAL SCHOOL DISTRICT
5,Public School District,210302040000,WEST CANADA VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,210402060000,FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT
5,Public School District,210601060000,HERKIMER CENTRAL SCHOOL DISTRICT
5,Public School District,210800050000,LITTLE FALLS CITY SCHOOL DISTRICT
5,Public School District,211003040000,DOLGEVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,211103040000,POLAND CENTRAL SCHOOL DISTRICT
5,Public School District,211701040000,VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT
5,Public School District,211901020000,TOWN OF WEBB UNION FREE SCHOOL DISTRICT
5,Public School District,212001040000,MOUNT MARKHAM CENTRAL SCHOOL DISTRICT
5,Public School District,212101040000,CENTRAL VALLEY CSD AT ILION-MOHAWK
5,Public School District,220101040000,SOUTH JEFFERSON CENTRAL SCHOOL DISTRICT
5,Public School District,220202040000,ALEXANDRIA CENTRAL SCHOOL DISTRICT
5,Public School District,220301060000,INDIAN RIVER CENTRAL SCHOOL DISTRICT
5,Public School District,220401040000,GENERAL BROWN CENTRAL SCHOOL DISTRICT
5,Public School District,220701040000,THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT
5,Public School District,220909040000,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT
5,Public School District,221001040000,SACKETS HARBOR CENTRAL SCHOOL DISTRICT
5,Public School District,221301040000,LYME CENTRAL SCHOOL DISTRICT
5,Public School District,221401040000,LA FARGEVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,222000010000,WATERTOWN CITY SCHOOL DISTRICT
5,Public School District,222201060000,CARTHAGE CENTRAL SCHOOL DISTRICT
5,Public School District,230201040000,COPENHAGEN CENTRAL SCHOOL DISTRICT
5,Public School District,230301040000,HARRISVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,230901040000,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT
5,Public School District,231101040000,SOUTH LEWIS CENTRAL SCHOOL DISTRICT
5,Public School District,231301040000,BEAVER RIVER CENTRAL SCHOOL DISTRICT
5,Public School District,240101040000,AVON CENTRAL SCHOOL DISTRICT
5,Public School District,240201040000,CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT
5,Public School District,240401040000,GENESEO CENTRAL SCHOOL DISTRICT
5,Public School District,240801060000,LIVONIA CENTRAL SCHOOL DISTRICT
5,Public School District,240901040000,MOUNT MORRIS CENTRAL SCHOOL DISTRICT
5,Public School District,241001060000,DANSVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,241101040000,DALTON-NUNDA CENTRAL SCHOOL DISTRICT (KESHEQUA)
5,Public School District,241701040000,YORK CENTRAL SCHOOL DISTRICT
5,Public School District,250109040000,BROOKFIELD CENTRAL SCHOOL DISTRICT
5,Public School District,250201060000,CAZENOVIA CENTRAL SCHOOL DISTRICT
5,Public School District,250301040000,DERUYTER CENTRAL SCHOOL DISTRICT
5,Public School District,250401040000,MORRISVILLE-EATON CENTRAL SCHOOL DISTRICT
5,Public School District,250701040000,HAMILTON CENTRAL SCHOOL DISTRICT
5,Public School District,250901060000,CANASTOTA CENTRAL SCHOOL DISTRICT
5,Public School District,251101040000,MADISON CENTRAL SCHOOL DISTRICT
5,Public School District,251400010000,ONEIDA CITY SCHOOL DISTRICT
5,Public School District,251501040000,STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT
5,Public School District,251601060000,CHITTENANGO CENTRAL SCHOOL DISTRICT
5,Public School District,260101060000,BRIGHTON CENTRAL SCHOOL DISTRICT
5,Public School District,260401060000,GATES-CHILI CENTRAL SCHOOL DISTRICT
5,Public School District,260501060000,GREECE CENTRAL SCHOOL DISTRICT
5,Public School District,260801060000,EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT
5,Public School District,260803060000,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT
5,Public School District,260901060000,HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT
5,Public School District,261001060000,SPENCERPORT CENTRAL SCHOOL DISTRICT
5,Public School District,261101060000,HILTON CENTRAL SCHOOL DISTRICT
5,Public School District,261201060000,PENFIELD CENTRAL SCHOOL DISTRICT
5,Public School District,261301060000,FAIRPORT CENTRAL SCHOOL DISTRICT
5,Public School District,261313030000,EAST ROCHESTER UNION FREE SCHOOL DISTRICT
5,Public School District,261401060000,PITTSFORD CENTRAL SCHOOL DISTRICT
5,Public School District,261501060000,CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT
5,Public School District,261600010000,ROCHESTER CITY SCHOOL DISTRICT
5,Public School District,261701060000,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT
5,Public School District,261801060000,BROCKPORT CENTRAL SCHOOL DISTRICT
5,Public School District,261901060000,WEBSTER CENTRAL SCHOOL DISTRICT
5,Public School District,262001040000,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT
5,Public School District,270100010000,AMSTERDAM CITY SCHOOL DISTRICT
5,Public School District,270301040000,CANAJOHARIE CENTRAL SCHOOL DISTRICT
5,Public School District,270601040000,FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT
5,Public School District,270701040000,FORT PLAIN CENTRAL SCHOOL DISTRICT
5,Public School District,271201040000,OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD
5,Public School District,280100010000,GLEN COVE CITY SCHOOL DISTRICT
5,Public School District,280201030000,HEMPSTEAD UNION FREE SCHOOL DISTRICT
5,Public School District,280202030000,UNIONDALE UNION FREE SCHOOL DISTRICT
5,Public School District,280203030000,EAST MEADOW UNION FREE SCHOOL DISTRICT
5,Public School District,280204020000,NORTH BELLMORE UNION FREE SCHOOL DISTRICT
5,Public School District,280205030000,LEVITTOWN UNION FREE SCHOOL DISTRICT
5,Public School District,280206030000,SEAFORD UNION FREE SCHOOL DISTRICT
5,Public School District,280207020000,BELLMORE UNION FREE SCHOOL DISTRICT
5,Public School District,280208030000,ROOSEVELT UNION FREE SCHOOL DISTRICT
5,Public School District,280209030000,FREEPORT UNION FREE SCHOOL DISTRICT
5,Public School District,280210030000,BALDWIN UNION FREE SCHOOL DISTRICT
5,Public School District,280211030000,OCEANSIDE UNION FREE SCHOOL DISTRICT
5,Public School District,280212030000,MALVERNE UNION FREE SCHOOL DISTRICT
5,Public School District,280213020000,VALLEY STREAM 13 UNION FREE SCHOOL DISTRICT
5,Public School District,280214030000,HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT
5,Public School District,280215030000,LAWRENCE UNION FREE SCHOOL DISTRICT
5,Public School District,280216020000,ELMONT UNION FREE SCHOOL DISTRICT
5,Public School District,280217020000,FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT
5,Public School District,280218030000,GARDEN CITY UNION FREE SCHOOL DISTRICT
5,Public School District,280219030000,EAST ROCKAWAY UNION FREE SCHOOL DISTRICT
5,Public School District,280220030000,LYNBROOK UNION FREE SCHOOL DISTRICT
5,Public School District,280221030000,ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT
5,Public School District,280222020000,FLORAL PARK-BELLEROSE UNION FREE SCHOOL DISTRICT
5,Public School District,280223030000,WANTAGH UNION FREE SCHOOL DISTRICT
5,Public School District,280224020000,VALLEY STREAM 24 UNION FREE SCHOOL DISTRICT
5,Public School District,280225020000,MERRICK UNION FREE SCHOOL DISTRICT
5,Public School District,280226030000,ISLAND TREES UNION FREE SCHOOL DISTRICT
5,Public School District,280227030000,WEST HEMPSTEAD UNION FREE SCHOOL DISTRICT
5,Public School District,280229020000,NORTH MERRICK UNION FREE SCHOOL DISTRICT
5,Public School District,280230020000,VALLEY STREAM 30 UNION FREE SCHOOL DISTRICT
5,Public School District,280231020000,ISLAND PARK UNION FREE SCHOOL DISTRICT
5,Public School District,280251070000,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT
5,Public School District,280252070000,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT
5,Public School District,280253070000,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT
5,Public School District,280300010000,LONG BEACH CITY SCHOOL DISTRICT
5,Public School District,280401030000,WESTBURY UNION FREE SCHOOL DISTRICT
5,Public School District,280402030000,EAST WILLISTON UNION FREE SCHOOL DISTRICT
5,Public School District,280403030000,ROSLYN UNION FREE SCHOOL DISTRICT
